dataset,fea_dim_pair,model,seed,auc,bce_loss
aliccp,"{'101': 6, '109_14': 5, '110_14': 3, '124': 1, '125': 2, '127_14': 5, '150_14': 2, '205': 7, '206': 3, '207': 4, '210': 2, '216': 5, '301': 1, '508': 4, '509': 2, '702': 1, '853': 3}",widedeep,1,0.659649143161059,0.1582288518190155
aliccp,"{'101': 2, '109_14': 2, '110_14': 1, '124': 1, '125': 1, '127_14': 1, '150_14': 1, '205': 2, '206': 2, '207': 1, '216': 1, '301': 1, '508': 2, '509': 1, '702': 1, '853': 2}",widedeep,0,0.6551836079706451,0.15835706878893657
aliccp,"{'101': 2, '109_14': 2, '110_14': 1, '124': 1, '125': 1, '127_14': 1, '150_14': 1, '205': 2, '206': 2, '207': 1, '216': 1, '301': 1, '508': 2, '509': 1, '702': 1, '853': 2}",widedeep,1,0.6542256049407765,0.15847535983200375
aliccp,"{'101': 2, '109_14': 1, '110_14': 3, '124': 1, '125': 1, '127_14': 3, '150_14': 1, '205': 2, '206': 2, '207': 1, '210': 1, '216': 1, '301': 1, '508': 3, '509': 2, '702': 1, '853': 1}",widedeep,0,0.6543360107581162,0.15840413693363684
aliccp,"{'101': 2, '109_14': 1, '110_14': 3, '124': 1, '125': 1, '127_14': 3, '150_14': 1, '205': 2, '206': 2, '207': 1, '210': 1, '216': 1, '301': 1, '508': 3, '509': 2, '702': 1, '853': 1}",widedeep,1,0.6560776091750726,0.15829342308809388
aliccp,"{'101': 6, '109_14': 4, '110_14': 4, '121': 10, '122': 4, '124': 4, '125': 7, '126': 11, '127': 8, '127_14': 3, '128': 9, '129': 3, '150_14': 5, '205': 6, '206': 3, '207': 5, '210': 2, '216': 7, '301': 10, '508': 3, '509': 9, '702': 10, '853': 7}",widedeep,0,0.6577336540191954,0.15816875734687652
aliccp,"{'101': 6, '109_14': 4, '110_14': 4, '121': 10, '122': 4, '124': 4, '125': 7, '126': 11, '127': 8, '127_14': 3, '128': 9, '129': 3, '150_14': 5, '205': 6, '206': 3, '207': 5, '210': 2, '216': 7, '301': 10, '508': 3, '509': 9, '702': 10, '853': 7}",widedeep,1,0.6574173974006196,0.15834174048259325
aliccp,"{'101': 5, '109_14': 6, '110_14': 5, '121': 12, '122': 7, '124': 9, '125': 11, '126': 9, '127': 10, '127_14': 7, '128': 15, '129': 6, '150_14': 3, '206': 6, '207': 1, '210': 2, '216': 5, '301': 11, '508': 5, '509': 7, '702': 10, '853': 3}",widedeep,0,0.6555635089277875,0.1584441083895828
aliccp,"{'101': 5, '109_14': 6, '110_14': 5, '121': 12, '122': 7, '124': 9, '125': 11, '126': 9, '127': 10, '127_14': 7, '128': 15, '129': 6, '150_14': 3, '206': 6, '207': 1, '210': 2, '216': 5, '301': 11, '508': 5, '509': 7, '702': 10, '853': 3}",widedeep,1,0.655466702680757,0.158514124759107
aliccp,"{'101': 10, '110_14': 3, '127_14': 2, '150_14': 1, '205': 5, '206': 1, '207': 2, '210': 1, '508': 2, '509': 4, '702': 1, '853': 3}",widedeep,0,0.65718662148006,0.15825568488105687
