dataset,fea_dim_pair,model,seed,auc,bce_loss
movielens-1m,"{'age': 6, 'gender': 2, 'genres': 6, 'movie_id': 15, 'occupation': 8, 'timestamp': 8, 'title': 12, 'user_id': 11, 'zip': 10}",widedeep,1,0.7940977967179219,0.5367307084979434
aliccp,"{'101': 16, '109_14': 5, '110_14': 15, '121': 4, '122': 12, '124': 7, '125': 5, '126': 10, '127': 14, '127_14': 14, '128': 4, '129': 13, '150_14': 5, '205': 13, '206': 5, '207': 16, '210': 16, '216': 4, '301': 2, '508': 8, '509': 11, '702': 11, '853': 4}",widedeep,0,0.6584371665520404,0.15838392778858937
aliccp,"{'101': 16, '109_14': 5, '110_14': 15, '121': 4, '122': 12, '124': 7, '125': 5, '126': 10, '127': 14, '127_14': 14, '128': 4, '129': 13, '150_14': 5, '205': 13, '206': 5, '207': 16, '210': 16, '216': 4, '301': 2, '508': 8, '509': 11, '702': 11, '853': 4}",widedeep,1,0.6571462564425972,0.1582175280074607
aliccp,"{'101': 16, '109_14': 11, '110_14': 3, '121': 6, '122': 16, '124': 1, '125': 2, '126': 9, '127': 10, '127_14': 6, '128': 4, '129': 7, '150_14': 12, '205': 15, '206': 3, '207': 13, '210': 12, '216': 16, '301': 6, '508': 3, '509': 5, '702': 9, '853': 16}",widedeep,0,0.6581002671067362,0.15811267629858058
aliccp,"{'101': 16, '109_14': 11, '110_14': 3, '121': 6, '122': 16, '124': 1, '125': 2, '126': 9, '127': 10, '127_14': 6, '128': 4, '129': 7, '150_14': 12, '205': 15, '206': 3, '207': 13, '210': 12, '216': 16, '301': 6, '508': 3, '509': 5, '702': 9, '853': 16}",widedeep,1,0.6592820903805018,0.15801429668080416
aliccp,"{'101': 9, '109_14': 3, '110_14': 5, '121': 1, '122': 1, '124': 1, '125': 3, '127': 1, '127_14': 4, '150_14': 2, '205': 4, '206': 5, '207': 3, '210': 1, '216': 3, '301': 2, '508': 4, '509': 3, '702': 2, '853': 3}",widedeep,0,0.6586356610154406,0.15807498544926296
aliccp,"{'101': 9, '109_14': 3, '110_14': 5, '121': 1, '122': 1, '124': 1, '125': 3, '127': 1, '127_14': 4, '150_14': 2, '205': 4, '206': 5, '207': 3, '210': 1, '216': 3, '301': 2, '508': 4, '509': 3, '702': 2, '853': 3}",widedeep,1,0.6583817698793598,0.15809270963623118
aliccp,"{'101': 9, '109_14': 3, '110_14': 4, '124': 1, '125': 2, '127_14': 2, '150_14': 3, '205': 4, '206': 4, '207': 1, '210': 1, '216': 6, '301': 1, '508': 4, '509': 2, '702': 2, '853': 2}",widedeep,0,0.658526564863265,0.15838581794559053
aliccp,"{'101': 9, '109_14': 3, '110_14': 4, '124': 1, '125': 2, '127_14': 2, '150_14': 3, '205': 4, '206': 4, '207': 1, '210': 1, '216': 6, '301': 1, '508': 4, '509': 2, '702': 2, '853': 2}",widedeep,1,0.6577359183051246,0.15819020644275814
aliccp,"{'101': 9, '109_14': 5, '110_14': 4, '121': 1, '122': 3, '124': 1, '125': 2, '127': 1, '127_14': 5, '150_14': 2, '205': 7, '206': 4, '207': 2, '210': 2, '216': 4, '301': 2, '508': 2, '509': 2, '702': 2, '853': 2}",widedeep,0,0.6581924280213097,0.15824908998506906
aliccp,"{'101': 9, '109_14': 5, '110_14': 4, '121': 1, '122': 3, '124': 1, '125': 2, '127': 1, '127_14': 5, '150_14': 2, '205': 7, '206': 4, '207': 2, '210': 2, '216': 4, '301': 2, '508': 2, '509': 2, '702': 2, '853': 2}",widedeep,1,0.658070826142683,0.158267988040755
aliccp,"{'101': 6, '109_14': 4, '110_14': 3, '124': 1, '125': 2, '127_14': 4, '150_14': 2, '205': 6, '206': 3, '207': 3, '210': 2, '216': 3, '301': 1, '508': 4, '509': 2, '702': 1, '853': 3}",widedeep,0,0.6577354090464217,0.15818611228189292
aliccp,"{'101': 6, '109_14': 4, '110_14': 3, '124': 1, '125': 2, '127_14': 4, '150_14': 2, '205': 6, '206': 3, '207': 3, '210': 2, '216': 3, '301': 1, '508': 4, '509': 2, '702': 1, '853': 3}",widedeep,1,0.6594218991849814,0.1579747631689884
avazu,"{'C1': 1, 'C14': 5, 'C15': 1, 'C16': 2, 'C17': 7, 'C18': 1, 'C19': 4, 'C20': 5, 'C21': 3, 'app_category': 2, 'app_domain': 2, 'app_id': 7, 'banner_pos': 1, 'device_conn_type': 2, 'device_id': 5, 'device_ip': 11, 'device_model': 9, 'device_type': 1, 'hour': 5, 'site_category': 3, 'site_domain': 5, 'site_id': 6}",widedeep,0,0.7865697527717556,0.3761233380970109
avazu,"{'C1': 1, 'C14': 5, 'C15': 1, 'C16': 2, 'C17': 7, 'C18': 1, 'C19': 4, 'C20': 5, 'C21': 3, 'app_category': 2, 'app_domain': 2, 'app_id': 7, 'banner_pos': 1, 'device_conn_type': 2, 'device_id': 5, 'device_ip': 11, 'device_model': 9, 'device_type': 1, 'hour': 5, 'site_category': 3, 'site_domain': 5, 'site_id': 6}",widedeep,1,0.7862600125260698,0.37627335688142133
avazu,"{'C1': 2, 'C14': 7, 'C15': 1, 'C16': 3, 'C17': 5, 'C19': 4, 'C20': 6, 'C21': 4, 'app_category': 3, 'app_domain': 5, 'app_id': 8, 'banner_pos': 1, 'device_conn_type': 2, 'device_id': 6, 'device_ip': 10, 'device_model': 7, 'device_type': 2, 'hour': 4, 'site_category': 2, 'site_domain': 6, 'site_id': 7}",widedeep,0,0.7866898412910555,0.3761832863424297
avazu,"{'C1': 2, 'C14': 7, 'C15': 1, 'C16': 3, 'C17': 5, 'C19': 4, 'C20': 6, 'C21': 4, 'app_category': 3, 'app_domain': 5, 'app_id': 8, 'banner_pos': 1, 'device_conn_type': 2, 'device_id': 6, 'device_ip': 10, 'device_model': 7, 'device_type': 2, 'hour': 4, 'site_category': 2, 'site_domain': 6, 'site_id': 7}",widedeep,1,0.7859929156051717,0.37648318419212223
criteo,"{'1': 1, '2': 3, '3': 2, '4': 2, '5': 3, '6': 2, '7': 1, '8': 2, '9': 2, '10': 1, '11': 3, '12': 2, '13': 1, '15': 1, '16': 2, '17': 2, '19': 4, '20': 3, '23': 2, '24': 4, '26': 4, '27': 2, '28': 4, '29': 2, '30': 4, '31': 3, '32': 2, '33': 1, '34': 2, '35': 1, '36': 2, '37': 4, '38': 1, '39': 3}",widedeep,0,0.7990406497487597,0.4540530087045974
criteo,"{'1': 1, '2': 3, '3': 2, '4': 2, '5': 3, '6': 2, '7': 1, '8': 2, '9': 2, '10': 1, '11': 3, '12': 2, '13': 1, '15': 1, '16': 2, '17': 2, '19': 4, '20': 3, '23': 2, '24': 4, '26': 4, '27': 2, '28': 4, '29': 2, '30': 4, '31': 3, '32': 2, '33': 1, '34': 2, '35': 1, '36': 2, '37': 4, '38': 1, '39': 3}",widedeep,1,0.7992265856674355,0.45400937480842257
criteo,"{'1': 2, '2': 3, '3': 2, '4': 2, '5': 3, '6': 3, '7': 1, '8': 2, '9': 3, '10': 1, '11': 4, '12': 1, '13': 1, '15': 3, '16': 2, '17': 3, '19': 3, '20': 4, '23': 1, '24': 4, '25': 2, '26': 3, '27': 2, '28': 5, '29': 3, '30': 2, '31': 3, '32': 2, '33': 2, '34': 2, '35': 2, '36': 4, '37': 3, '38': 1, '39': 3}",widedeep,0,0.7997338513362231,0.45350564064467763
criteo,"{'1': 2, '2': 3, '3': 2, '4': 2, '5': 3, '6': 3, '7': 1, '8': 2, '9': 3, '10': 1, '11': 4, '12': 1, '13': 1, '15': 3, '16': 2, '17': 3, '19': 3, '20': 4, '23': 1, '24': 4, '25': 2, '26': 3, '27': 2, '28': 5, '29': 3, '30': 2, '31': 3, '32': 2, '33': 2, '34': 2, '35': 2, '36': 4, '37': 3, '38': 1, '39': 3}",widedeep,1,0.7994250077302301,0.45370769192567045
avazu,"{'C1': 5, 'C14': 11, 'C15': 8, 'C16': 6, 'C17': 7, 'C18': 2, 'C19': 1, 'C20': 9, 'C21': 5, 'app_category': 3, 'app_domain': 9, 'app_id': 9, 'banner_pos': 7, 'device_conn_type': 5, 'device_id': 12, 'device_ip': 14, 'device_model': 8, 'device_type': 5, 'hour': 3, 'site_category': 1, 'site_domain': 9, 'site_id': 10}",widedeep,0,0.786520957008046,0.3761785634818923
avazu,"{'C1': 5, 'C14': 11, 'C15': 8, 'C16': 6, 'C17': 7, 'C18': 2, 'C19': 1, 'C20': 9, 'C21': 5, 'app_category': 3, 'app_domain': 9, 'app_id': 9, 'banner_pos': 7, 'device_conn_type': 5, 'device_id': 12, 'device_ip': 14, 'device_model': 8, 'device_type': 5, 'hour': 3, 'site_category': 1, 'site_domain': 9, 'site_id': 10}",widedeep,1,0.7863692000965328,0.37618102563604566
avazu,"{'C1': 9, 'C14': 5, 'C15': 9, 'C16': 6, 'C17': 10, 'C18': 1, 'C19': 5, 'C20': 6, 'C21': 5, 'app_category': 6, 'app_domain': 10, 'app_id': 7, 'banner_pos': 9, 'device_conn_type': 4, 'device_id': 11, 'device_ip': 13, 'device_model': 5, 'device_type': 1, 'hour': 5, 'site_category': 2, 'site_domain': 7, 'site_id': 6}",widedeep,0,0.7866988212203601,0.3760424945517301
avazu,"{'C1': 9, 'C14': 5, 'C15': 9, 'C16': 6, 'C17': 10, 'C18': 1, 'C19': 5, 'C20': 6, 'C21': 5, 'app_category': 6, 'app_domain': 10, 'app_id': 7, 'banner_pos': 9, 'device_conn_type': 4, 'device_id': 11, 'device_ip': 13, 'device_model': 5, 'device_type': 1, 'hour': 5, 'site_category': 2, 'site_domain': 7, 'site_id': 6}",widedeep,1,0.7863015953860897,0.3763283643796874
