fea,dim
site_id,9
device_ip,9
device_model,9
app_id,8
C17,7
hour,5
site_domain,5
C14,5
C20,5
app_domain,4
C19,4
C21,4
site_category,3
app_category,3
device_id,3
C1,2
device_conn_type,2
C16,2
banner_pos,1
device_type,1
C15,1
C18,1
