fea,dim
101,2
205,2
206,2
508,2
853,2
109_14,2
124,1
125,1
207,1
216,1
509,1
702,1
301,1
110_14,1
127_14,1
150_14,1
121,0
122,0
126,0
127,0
128,0
129,0
210,0
