fea,dim
101,9
206,5
110_14,5
205,4
508,4
127_14,4
125,3
207,3
216,3
509,3
853,3
109_14,3
702,2
301,2
150_14,2
121,1
122,1
124,1
127,1
210,1
126,0
128,0
129,0
