fea,dim
26,5
19,4
24,4
30,4
37,4
2,3
11,3
15,3
16,3
17,3
23,3
25,3
28,3
31,3
33,3
36,3
1,2
3,2
5,2
6,2
8,2
9,2
12,2
13,2
20,2
27,2
29,2
32,2
39,2
4,1
7,1
10,1
34,1
35,1
38,1
14,0
18,0
21,0
22,0
