fea,dim
101,16
122,16
216,16
853,16
205,15
207,13
210,12
150_14,12
109_14,11
127,10
126,9
702,9
129,7
121,6
301,6
127_14,6
509,5
128,4
206,3
508,3
110_14,3
125,2
124,1
