fea,dim
device_ip,13
device_id,11
app_domain,10
C17,10
C1,9
banner_pos,9
C15,9
site_domain,7
app_id,7
site_id,6
app_category,6
C16,6
C20,6
hour,5
device_model,5
C14,5
C19,5
C21,5
device_conn_type,4
site_category,2
device_type,1
C18,1
