fea,dim
device_ip,14
device_id,12
C14,11
site_id,10
site_domain,9
app_id,9
app_domain,9
C20,9
device_model,8
C15,8
banner_pos,7
C17,7
C16,6
C1,5
device_type,5
device_conn_type,5
C21,5
hour,3
app_category,3
C18,2
site_category,1
C19,1
