fea,dim
site_id,7
app_id,7
device_id,7
device_ip,6
banner_pos,3
C16,3
device_model,1
hour,0
C1,0
site_domain,0
site_category,0
app_domain,0
app_category,0
device_type,0
device_conn_type,0
C14,0
C15,0
C17,0
C18,0
C19,0
C20,0
C21,0
