fea,dim
101,8
205,5
109_14,4
127_14,4
206,3
216,3
110_14,3
121,2
122,2
125,2
207,2
508,2
509,2
702,2
853,2
301,2
150_14,2
124,1
127,1
210,1
126,0
128,0
129,0
