fea,dim
28,7
11,6
6,5
9,5
36,5
5,4
17,4
20,4
23,4
26,4
39,4
2,3
8,3
13,3
19,3
24,3
30,3
31,3
37,3
3,2
15,2
25,2
27,2
29,2
1,1
4,1
7,1
12,1
16,1
32,1
33,1
35,1
38,1
10,0
14,0
18,0
21,0
22,0
34,0
