fea,dim
28,5
11,4
20,4
24,4
36,4
2,3
5,3
6,3
9,3
15,3
17,3
19,3
26,3
29,3
31,3
37,3
39,3
1,2
3,2
4,2
8,2
16,2
25,2
27,2
30,2
32,2
33,2
34,2
35,2
7,1
10,1
12,1
13,1
23,1
38,1
14,0
18,0
21,0
22,0
