fea,dim
128,15
121,12
125,11
301,11
127,10
702,10
124,9
126,9
122,7
509,7
127_14,7
129,6
206,6
109_14,6
101,5
216,5
508,5
110_14,5
853,3
150_14,3
210,2
207,1
205,0
