fea,dim
101,9
205,7
109_14,5
127_14,5
206,4
216,4
110_14,4
122,3
125,2
207,2
210,2
508,2
509,2
702,2
853,2
301,2
150_14,2
121,1
124,1
127,1
126,0
128,0
129,0
