fea,dim
6,11
11,11
15,11
22,11
26,11
13,10
10,9
36,9
5,8
16,8
17,8
30,8
33,8
8,7
20,7
39,7
1,6
7,6
21,6
24,6
28,6
31,6
35,6
38,6
9,5
18,5
25,5
37,5
4,4
23,4
29,4
34,4
12,3
19,3
2,2
3,2
14,2
27,2
32,2
