fea,dim
101,16
121,16
122,16
124,16
125,16
126,16
127,16
128,16
129,16
205,16
206,16
207,16
210,16
216,16
508,16
509,16
702,16
853,16
301,16
109_14,16
110_14,16
127_14,16
150_14,16
