fea,dim
device_ip,15
device_id,12
site_id,11
site_domain,10
app_id,10
device_model,8
C14,7
C17,7
C16,5
C20,5
hour,4
C21,3
banner_pos,2
app_category,1
device_type,1
device_conn_type,1
C1,0
site_category,0
app_domain,0
C15,0
C18,0
C19,0
