fea,dim
hour,15
device_type,15
C15,15
device_id,11
C18,11
site_domain,9
device_conn_type,9
app_id,8
device_ip,8
device_model,8
C16,8
site_id,7
app_domain,7
C1,6
app_category,6
C14,6
C21,6
C17,5
C20,5
banner_pos,3
C19,3
site_category,2
