fea,dim
device_ip,10
app_id,9
site_id,8
device_model,7
C14,7
site_domain,6
device_id,6
C17,6
C20,6
C21,4
hour,3
app_domain,3
device_conn_type,3
C19,3
site_category,2
C15,2
C16,2
C1,1
banner_pos,1
app_category,1
device_type,1
C18,0
