fea,dim
205,7
101,6
216,5
109_14,5
127_14,5
207,4
508,4
206,3
853,3
110_14,3
125,2
210,2
509,2
150_14,2
124,1
702,1
301,1
121,0
122,0
126,0
127,0
128,0
129,0
