fea,dim
C16,12
site_domain,10
device_type,10
C1,9
device_id,9
C15,9
site_category,7
C19,7
C21,7
site_id,6
device_conn_type,6
C14,6
banner_pos,5
device_ip,5
C17,5
app_id,4
C18,4
hour,3
app_domain,3
device_model,3
app_category,2
C20,1
