fea,dim
101,16
207,16
210,16
110_14,15
127,14
127_14,14
129,13
205,13
122,12
509,11
702,11
126,10
508,8
124,7
125,5
206,5
109_14,5
150_14,5
121,4
128,4
216,4
853,4
301,2
