fea,dim
app_domain,15
C15,15
C1,13
app_id,13
C17,13
C21,13
device_type,12
C18,12
banner_pos,10
site_domain,10
device_model,10
device_ip,9
site_id,8
device_id,8
hour,7
app_category,7
device_conn_type,7
C20,6
site_category,5
C14,5
C19,4
C16,1
