fea,dim
device_ip,10
app_id,8
site_id,7
device_model,7
C14,7
site_domain,6
device_id,6
C20,6
app_domain,5
C17,5
hour,4
C19,4
C21,4
app_category,3
C16,3
C1,2
site_category,2
device_type,2
device_conn_type,2
banner_pos,1
C15,1
C18,0
