fea,dim
2,16
28,16
17,15
3,14
30,14
15,13
18,13
27,13
8,12
16,12
34,12
20,11
38,11
24,10
25,10
31,10
39,10
19,9
6,8
7,8
23,8
26,8
33,8
21,7
36,7
37,7
1,6
5,6
32,6
12,5
4,4
9,3
14,3
29,3
11,2
13,2
10,1
22,1
35,1
