fea,dim
device_ip,16
app_id,14
site_id,12
device_id,11
device_model,11
site_domain,9
C14,7
C17,6
C20,5
hour,4
banner_pos,3
C16,2
C21,2
C1,1
device_conn_type,1
site_category,0
app_domain,0
app_category,0
device_type,0
C15,0
C18,0
C19,0
