fea,dim
device_ip,11
device_model,9
app_id,7
C17,7
site_id,6
hour,5
site_domain,5
device_id,5
C14,5
C20,5
C19,4
site_category,3
C21,3
app_domain,2
app_category,2
device_conn_type,2
C16,2
C1,1
banner_pos,1
device_type,1
C15,1
C18,1
